Readings,Temperature,Pressure,Flow1,Flow2,VRR12,VRR22,VRR23,VRR33,VRS01,VRS03,VRS21,VRS31,VRS02,VRI01,VRI02,VRI03
1,248.8529867,9.689813437,4462.130014,13302.9265,19.06093779,0.05911913134,0.05058929489,0.1118636477,0.03395091227,0.04781225481,0.2326268093,0.2537746791,0.4007264321,1.763222719,0.00303090348,0.004994537106
2,269.3157403,1.279531808,4480.252595,13784.45225,19.06212839,0.05908939794,0.04878774731,0.1113395373,0.0340602733,0.05261066624,0.2333422367,0.315066653,0.1285165859,1.769271927,0.003164311849,0.004998625685
3,94.32064396,6.280685843,4325.270376,12899.98773,19.06164111,0.0581450811,0.04855193565,0.1111182147,0.03385939942,0.05399897372,0.2333871863,0.3801906963,0.3218156481,1.768585303,0.003321209215,0.004996029797
4,271.0198234,0.669886218,4481.761795,13733.0061,19.06245328,0.05823560897,0.04951367431,0.1126577254,0.03404858918,0.05076713059,0.2338500573,0.3298462857,0.1320918536,1.772432312,0.003060769151,0.004998459589
5,207.8762623,6.806043004,4425.83949,13500.22222,19.0611009,0.05837827891,0.04980910956,0.1112521059,0.0339957208,0.05266885671,0.233619122,0.3907292271,0.2479733269,1.772355886,0.003060420306,0.004993952446
6,87.70412663,10.95357241,4319.410541,12895.87696,19.06209035,0.05913061631,0.0514862226,0.1136779,0.0338584658,0.05417299725,0.2311299466,0.3110982337,0.3853305917,1.770474856,0.003082258315,0.004993777155
7,128.3647864,9.591169403,4355.421146,13212.69614,19.0618169,0.05881517671,0.05013144943,0.1129643169,0.03393041973,0.05153318635,0.2326801015,0.3646264362,0.4004001584,1.764042177,0.003039771487,0.004998419113
8,188.669682,16.19117326,4408.829422,13399.78489,19.06171756,0.05787234433,0.04812635129,0.1118554766,0.03397291012,0.05122812622,0.2319836256,0.2919117997,0.2369687829,1.763857955,0.003009837565,0.004996638499
9,280.9359177,7.390685385,4490.54386,12466.70757,19.06132947,0.05914417967,0.04935170254,0.1124276134,0.03376099562,0.0551053967,0.2328178785,0.2597588775,0.1681773803,1.770583074,0.003195477514,0.004996401242
10,282.5945627,12.92804199,4492.012819,12907.71095,19.06266687,0.05922050579,0.05184435478,0.1131867821,0.03386115346,0.05471837621,0.2341806314,0.3260747058,0.1222195961,1.764814752,0.00318705518,0.004997930446
11,101.2022709,9.495934781,4331.365003,12095.40246,19.06085658,0.05780551239,0.0496148362,0.1133509657,0.03367666719,0.04971079897,0.2320745865,0.34260971,0.2297119096,1.762693772,0.003303979739,0.004997146042
12,283.8762892,0.4641718508,4493.147964,13222.05095,19.06140265,0.05776196797,0.04941825961,0.1118215055,0.03393254434,0.04761818362,0.2320302569,0.2772034535,0.2004195679,1.768233339,0.00326442319,0.004995234612
13,280.8595461,8.554069039,4490.476223,12034.1628,19.06177477,0.05887626982,0.05150988898,0.1134469894,0.03366275884,0.04885698214,0.2334574911,0.2427802661,0.3198270567,1.767183046,0.003179204307,0.00499687964
14,174.8495036,6.82925091,4396.589754,13248.01518,19.06277592,0.0576725847,0.05127859425,0.112462735,0.03393844117,0.0476982033,0.2310935603,0.2690352649,0.1350903412,1.771126449,0.003063177005,0.00499973965
15,245.6076405,3.737482316,4459.255813,12388.53281,19.06103501,0.0582871299,0.04933702245,0.113079107,0.03374324107,0.05318226964,0.2322652766,0.2503984893,0.1166959801,1.772832472,0.003018503828,0.004993518089
16,97.66852044,3.912458652,4328.235381,13011.14035,19.06105589,0.05809239586,0.05118657173,0.1125429911,0.03388464368,0.04704606735,0.2333544426,0.3354740647,0.281299839,1.767572495,0.003014653396,0.004999721061
17,160.5555527,7.339798751,4383.930495,12959.11771,19.06102976,0.05845611694,0.04802736053,0.1113841348,0.03387282864,0.0521791399,0.2323497176,0.3196100123,0.2012892611,1.764912532,0.003314105392,0.004995844514
18,271.5500337,15.26779514,4482.23137,13420.38371,19.06127621,0.05936734057,0.0503787748,0.1134848977,0.0339775884,0.05423635091,0.2306282501,0.3158619533,0.08512724693,1.77003059,0.003250657909,0.004999353341
19,243.7936311,5.371368017,4457.649259,13379.97071,19.06221846,0.0585198976,0.04850375151,0.1112760012,0.03396841006,0.05232894646,0.2324406392,0.2882353089,0.2262032978,1.762641655,0.003015664273,0.00499885299
20,281.3820738,4.799790364,4490.938993,13451.3739,19.06208164,0.05889123733,0.05188628052,0.1130121832,0.03398462669,0.05018280774,0.2315538557,0.3153154735,0.2967110394,1.765980483,0.003182733758,0.004993733063
21,213.1300023,6.1082837,4430.492399,12881.63016,19.06103299,0.05905926564,0.04872192253,0.1131649752,0.03385523016,0.05406022074,0.2328643216,0.2546506279,0.3694427751,1.768982831,0.003124563463,0.004993771992
22,73.81140347,8.340676566,4307.106624,12656.93742,19.06075943,0.05782731496,0.04958783824,0.1130448058,0.03380419939,0.04897508649,0.2331142797,0.3836701135,0.2457780702,1.760693042,0.0030807254,0.004997968796
23,256.5838227,13.51583121,4468.976732,13093.66016,19.06262726,0.05816657823,0.05025034627,0.1129736684,0.03390338505,0.05048436787,0.234602463,0.2451612896,0.2526247212,1.771014103,0.003340704159,0.004999571105
24,275.6524874,3.984230355,4485.864656,13715.90778,19.06224702,0.05933290368,0.04960792278,0.1137339902,0.03404470592,0.05290910546,0.233512399,0.3538085038,0.2830675971,1.770222184,0.003025310927,0.004998730856
25,218.2967852,0.4833460494,4435.068296,13827.8392,19.06195294,0.05894558625,0.04898451722,0.1129444565,0.03407012706,0.05098162249,0.2337359434,0.2732243901,0.1867682128,1.772620711,0.003355597136,0.004996982668
26,236.0489583,5.07627929,4450.790286,13251.37313,19.06144731,0.05921875044,0.05113910518,0.1130437862,0.0339392038,0.05019102683,0.2331356812,0.2893474298,0.2092965929,1.771527695,0.003233426024,0.004994722577
27,232.7666619,5.025892983,4447.883361,13033.90493,19.06199506,0.05773785907,0.04871302403,0.1113655305,0.03388981383,0.05362557257,0.2324190692,0.3755786253,0.2193639176,1.761750138,0.003214037892,0.004999801576
28,153.9192954,13.72012677,4378.053177,13074.42485,19.06153922,0.05818406307,0.0504845128,0.1128171996,0.03389901645,0.05071994186,0.2327871207,0.2749543176,0.3364185844,1.766628445,0.003317887364,0.004997530913
29,213.0709499,2.36315354,4430.4401,12321.84513,19.06204774,0.05793856961,0.05190057424,0.1135274326,0.03372809539,0.05016458891,0.2350440651,0.3695584973,0.1974843372,1.762791183,0.003310971369,0.004997984223
30,104.2522181,13.53322615,4334.066151,12276.32499,19.06186572,0.0584385002,0.04959863297,0.1129125576,0.03371775715,0.05274786374,0.2349487925,0.3786880681,0.2959864607,1.770182673,0.003122141433,0.004997779317
31,224.4334672,14.29923719,4440.503172,13190.31608,19.06110598,0.05795876436,0.04793282571,0.1115329866,0.03392533692,0.05079037686,0.2318937965,0.2827247913,0.1237067804,1.767273175,0.003116933583,0.004996784634
32,72.9398419,9.223897458,4306.334736,13213.3129,19.06087147,0.05784208635,0.0500049742,0.1131927175,0.03393055981,0.0532422885,0.2325966919,0.3727640329,0.2805507091,1.772172519,0.003163620879,0.004998734629
33,128.0108363,0.4218439284,4355.107674,13287.97297,19.06221216,0.05908816704,0.04791581181,0.1131286532,0.03394751612,0.05118354001,0.2341993027,0.2835938781,0.3097283386,1.7653174,0.003078349866,0.004997126251
34,76.16166834,8.480741008,4309.188107,12127.14739,19.06178357,0.0584490341,0.04894217719,0.1120133112,0.0336838769,0.05368089987,0.2310417578,0.3805338444,0.2521315875,1.764132318,0.003140388922,0.004995589008
35,87.61231014,11.87076771,4319.329224,12126.83951,19.06177375,0.05938141646,0.04854326543,0.1120465753,0.03368380697,0.05407260028,0.233010798,0.2444318772,0.2059602231,1.769884555,0.003344670861,0.004993173185
